panel,cell,seed,policy,tape_id,completed,attempted,failures,prevented_breaches,exclusions,false_exclusions,scope_declines,repairs,appeals,verifications,resets,false_rejections,false_scope_declines,wasted_retries,gross_benefit,production_cost,verification_cost,commitment_cost,appeal_cost,repair_cost,scope_cost,third_party_harm,coordination_cost,participant_net,social_net,social_net_per_opportunity,completion_rate,unrealized_benefit
retry,retry-000,0,always_verify,5617c17ec2abe61ac259e2adfe1ba71949489f4d252533c4652ec5e9b940abaf,954,1000,46,0,0,0,0,0,0,1000,0,0,0,0,4770.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3760.0,3760.0,3.76,0.954,230.0
retry,retry-000,0,naive_trust,5617c17ec2abe61ac259e2adfe1ba71949489f4d252533c4652ec5e9b940abaf,954,1000,46,0,0,0,0,0,0,0,0,0,0,0,4770.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,3770.0,3.77,0.954,230.0
retry,retry-000,0,repair_no_exclusion,5617c17ec2abe61ac259e2adfe1ba71949489f4d252533c4652ec5e9b940abaf,970,1000,30,0,0,0,0,16,46,256,0,0,0,0,4850.0,1000.0,2.5599999999999894,49.9999999999993,13.800000000000011,4.400000000000001,0.0,0.0,70.7599999999993,3779.2400000000007,3779.2400000000007,3.7792400000000006,0.97,150.0
retry,retry-000,0,verify_and_retry,5617c17ec2abe61ac259e2adfe1ba71949489f4d252533c4652ec5e9b940abaf,970,1000,30,0,0,0,0,16,46,1000,0,0,0,0,4850.0,1000.0,9.999999999999831,0.0,13.800000000000011,4.400000000000001,0.0,0.0,28.199999999999843,3821.8,3821.8,3.8218,0.97,150.0
retry,retry-000,1,always_verify,a2776b0083bf91b9333d23ede556dd01fac19773e61bde356ec8aa205dcb0a31,951,1000,49,0,0,0,0,0,0,1000,0,0,0,0,4755.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3745.0,3745.0,3.745,0.951,245.0
retry,retry-000,1,naive_trust,a2776b0083bf91b9333d23ede556dd01fac19773e61bde356ec8aa205dcb0a31,951,1000,49,0,0,0,0,0,0,0,0,0,0,0,4755.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.0,3755.0,3.755,0.951,245.0
retry,retry-000,1,repair_no_exclusion,a2776b0083bf91b9333d23ede556dd01fac19773e61bde356ec8aa205dcb0a31,966,1000,34,0,0,0,0,15,49,258,0,0,0,0,4830.0,1000.0,2.579999999999989,49.9999999999993,14.700000000000014,4.600000000000001,0.0,0.0,71.8799999999993,3758.120000000001,3758.120000000001,3.758120000000001,0.966,170.0
retry,retry-000,1,verify_and_retry,a2776b0083bf91b9333d23ede556dd01fac19773e61bde356ec8aa205dcb0a31,966,1000,34,0,0,0,0,15,49,1000,0,0,0,0,4830.0,1000.0,9.999999999999831,0.0,14.700000000000014,4.600000000000001,0.0,0.0,29.299999999999848,3800.7000000000003,3800.7000000000003,3.8007000000000004,0.966,170.0
retry,retry-000,2,always_verify,cb6e6689c3742a71e19ef237fe8812db10c98697d7950f63556d794d47127c5e,956,1000,44,0,0,0,0,0,0,1000,0,0,0,0,4780.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3770.0,3770.0,3.77,0.956,220.0
retry,retry-000,2,naive_trust,cb6e6689c3742a71e19ef237fe8812db10c98697d7950f63556d794d47127c5e,956,1000,44,0,0,0,0,0,0,0,0,0,0,0,4780.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780.0,3780.0,3.78,0.956,220.0
retry,retry-000,2,repair_no_exclusion,cb6e6689c3742a71e19ef237fe8812db10c98697d7950f63556d794d47127c5e,983,1000,17,0,0,0,0,27,44,223,0,0,0,0,4915.0,1000.0,2.2299999999999964,49.9999999999993,13.20000000000001,6.000000000000003,0.0,0.0,71.42999999999931,3843.5700000000006,3843.5700000000006,3.8435700000000006,0.983,85.0
retry,retry-000,2,verify_and_retry,cb6e6689c3742a71e19ef237fe8812db10c98697d7950f63556d794d47127c5e,983,1000,17,0,0,0,0,27,44,1000,0,0,0,0,4915.0,1000.0,9.999999999999831,0.0,13.20000000000001,6.000000000000003,0.0,0.0,29.199999999999843,3885.8,3885.8,3.8858,0.983,85.0
retry,retry-000,3,always_verify,20cffc25590e45f48f44523f35d7d2439a442566ca9188e44860baf38fb6b552,951,1000,49,0,0,0,0,0,0,1000,0,0,0,0,4755.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3745.0,3745.0,3.745,0.951,245.0
retry,retry-000,3,naive_trust,20cffc25590e45f48f44523f35d7d2439a442566ca9188e44860baf38fb6b552,951,1000,49,0,0,0,0,0,0,0,0,0,0,0,4755.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.0,3755.0,3.755,0.951,245.0
retry,retry-000,3,repair_no_exclusion,20cffc25590e45f48f44523f35d7d2439a442566ca9188e44860baf38fb6b552,969,1000,31,0,0,0,0,18,49,250,0,0,0,0,4845.0,1000.0,2.4999999999999907,49.9999999999993,14.700000000000014,5.000000000000002,0.0,0.0,72.1999999999993,3772.8000000000006,3772.8000000000006,3.7728000000000006,0.969,155.0
retry,retry-000,3,verify_and_retry,20cffc25590e45f48f44523f35d7d2439a442566ca9188e44860baf38fb6b552,969,1000,31,0,0,0,0,18,49,1000,0,0,0,0,4845.0,1000.0,9.999999999999831,0.0,14.700000000000014,5.000000000000002,0.0,0.0,29.699999999999847,3815.3,3815.3,3.8153,0.969,155.0
retry,retry-000,4,always_verify,7660e85b8bdf7d457e5673bca3126c9e82754b4a9d7c4e3e7fd349f83345e3f5,954,1000,46,0,0,0,0,0,0,1000,0,0,0,0,4770.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3760.0,3760.0,3.76,0.954,230.0
retry,retry-000,4,naive_trust,7660e85b8bdf7d457e5673bca3126c9e82754b4a9d7c4e3e7fd349f83345e3f5,954,1000,46,0,0,0,0,0,0,0,0,0,0,0,4770.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,3770.0,3.77,0.954,230.0
retry,retry-000,4,repair_no_exclusion,7660e85b8bdf7d457e5673bca3126c9e82754b4a9d7c4e3e7fd349f83345e3f5,973,1000,27,0,0,0,0,19,46,234,0,0,0,0,4865.0,1000.0,2.339999999999994,49.9999999999993,13.800000000000011,5.000000000000002,0.0,0.0,71.1399999999993,3793.8600000000006,3793.8600000000006,3.7938600000000005,0.973,135.0
retry,retry-000,4,verify_and_retry,7660e85b8bdf7d457e5673bca3126c9e82754b4a9d7c4e3e7fd349f83345e3f5,973,1000,27,0,0,0,0,19,46,1000,0,0,0,0,4865.0,1000.0,9.999999999999831,0.0,13.800000000000011,5.000000000000002,0.0,0.0,28.799999999999844,3836.2000000000003,3836.2000000000003,3.8362000000000003,0.973,135.0
retry,retry-000,5,always_verify,ef6eb093455b84e49b905371980987d48a1d45b2750280c3656af1a2db36d405,952,1000,48,0,0,0,0,0,0,1000,0,0,0,0,4760.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3750.0,3750.0,3.75,0.952,240.0
retry,retry-000,5,naive_trust,ef6eb093455b84e49b905371980987d48a1d45b2750280c3656af1a2db36d405,952,1000,48,0,0,0,0,0,0,0,0,0,0,0,4760.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3760.0,3760.0,3.76,0.952,240.0
retry,retry-000,5,repair_no_exclusion,ef6eb093455b84e49b905371980987d48a1d45b2750280c3656af1a2db36d405,976,1000,24,0,0,0,0,24,48,225,0,0,0,0,4880.0,1000.0,2.249999999999996,49.9999999999993,14.400000000000013,6.200000000000003,0.0,0.0,72.84999999999931,3807.1500000000005,3807.1500000000005,3.8071500000000005,0.976,120.0
retry,retry-000,5,verify_and_retry,ef6eb093455b84e49b905371980987d48a1d45b2750280c3656af1a2db36d405,976,1000,24,0,0,0,0,24,48,1000,0,0,0,0,4880.0,1000.0,9.999999999999831,0.0,14.400000000000013,6.200000000000003,0.0,0.0,30.599999999999845,3849.4,3849.4,3.8494,0.976,120.0
retry,retry-000,6,always_verify,e9f81d2481818342910180ac0b892d33a89bcdd75ea3eeb3238f6d8c4bf1305d,946,1000,54,0,0,0,0,0,0,1000,0,0,0,0,4730.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3720.0,3720.0,3.72,0.946,270.0
retry,retry-000,6,naive_trust,e9f81d2481818342910180ac0b892d33a89bcdd75ea3eeb3238f6d8c4bf1305d,946,1000,54,0,0,0,0,0,0,0,0,0,0,0,4730.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3730.0,3730.0,3.73,0.946,270.0
retry,retry-000,6,repair_no_exclusion,e9f81d2481818342910180ac0b892d33a89bcdd75ea3eeb3238f6d8c4bf1305d,968,1000,32,0,0,0,0,22,54,257,0,0,0,0,4840.0,1000.0,2.569999999999989,49.9999999999993,16.200000000000017,6.000000000000003,0.0,0.0,74.7699999999993,3765.2300000000005,3765.2300000000005,3.7652300000000003,0.968,160.0
retry,retry-000,6,verify_and_retry,e9f81d2481818342910180ac0b892d33a89bcdd75ea3eeb3238f6d8c4bf1305d,968,1000,32,0,0,0,0,22,54,1000,0,0,0,0,4840.0,1000.0,9.999999999999831,0.0,16.200000000000017,6.000000000000003,0.0,0.0,32.199999999999854,3807.8,3807.8,3.8078000000000003,0.968,160.0
retry,retry-000,7,always_verify,c13c6fa14349f55de75f4f370c4d97ae0fdc3ba85901d090b63096fc3de6f3a7,950,1000,50,0,0,0,0,0,0,1000,0,0,0,0,4750.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3740.0,3740.0,3.74,0.95,250.0
retry,retry-000,7,naive_trust,c13c6fa14349f55de75f4f370c4d97ae0fdc3ba85901d090b63096fc3de6f3a7,950,1000,50,0,0,0,0,0,0,0,0,0,0,0,4750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,3750.0,3.75,0.95,250.0
retry,retry-000,7,repair_no_exclusion,c13c6fa14349f55de75f4f370c4d97ae0fdc3ba85901d090b63096fc3de6f3a7,977,1000,23,0,0,0,0,27,50,228,0,0,0,0,4885.0,1000.0,2.2799999999999954,49.9999999999993,15.000000000000014,6.800000000000003,0.0,0.0,74.07999999999932,3810.9200000000005,3810.9200000000005,3.8109200000000003,0.977,115.0
retry,retry-000,7,verify_and_retry,c13c6fa14349f55de75f4f370c4d97ae0fdc3ba85901d090b63096fc3de6f3a7,977,1000,23,0,0,0,0,27,50,1000,0,0,0,0,4885.0,1000.0,9.999999999999831,0.0,15.000000000000014,6.800000000000003,0.0,0.0,31.799999999999848,3853.2000000000003,3853.2000000000003,3.8532,0.977,115.0
retry,retry-000,8,always_verify,c4b58873d7d91eec93ea132085c97f10ccdf8eb5e4889a94c59f47f72b846b96,950,1000,50,0,0,0,0,0,0,1000,0,0,0,0,4750.0,1000.0,9.999999999999831,0.0,0.0,0.0,0.0,0.0,9.999999999999831,3740.0,3740.0,3.74,0.95,250.0
retry,retry-000,8,naive_trust,c4b58873d7d91eec93ea132085c97f10ccdf8eb5e4889a94c59f47f72b846b96,950,1000,50,0,0,0,0,0,0,0,0,0,0,0,4750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,3750.0,3.75,0.95,250.0
retry,retry-000,8,repair_no_exclusion,c4b58873d7d91eec93ea132085c97f10ccdf8eb5e4889a94c59f47f72b846b96,980,1000,20,0,0,0,0,30,50,222,0,0,0,0,4900.0,1000.0,2.2199999999999966,49.9999999999993,15.000000000000014,7.0000000000000036,0.0,0.0,74.21999999999932,3825.7800000000007,3825.7800000000007,3.825780000000001,0.98,100.0
