panel,cell,left,right,providers,opportunities,benefit,production_cost,verification_cost,commitment_cost,appeal_cost,repair_cost,scope_cost,harm,accident_rate,breach_rate,unreliable_fraction,unreliable_multiplier,allegation_rate,externality_rate,identity_reset_rate,evidence_accuracy,false_positive_rate,repair_success,audit_rate,successes_to_trust,exclusion_length,shock_start,shock_end,shock_breach_rate,mean_delta,ci_low,ci_high,analytic_delta,monte_carlo_error,max_tape_oracle_error
retry,retry-000,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,0.01,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.04854850000000066,0.03746900000000075,0.05991250000000066,,,
retry,retry-000,verify_and_retry,always_verify,30,1000,5.0,1.0,0.01,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.1009650000000002,0.0899100000000002,0.11230500000000014,0.09899999999999999,0.0019650000000002027,4.85722573273506e-16
retry,retry-001,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,0.6,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,-0.09402499999999865,-0.10742499999999859,-0.08018999999999868,,,
retry,retry-001,verify_and_retry,always_verify,30,1000,5.0,1.0,0.6,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.10096500000000005,0.08991000000000009,0.11230500000000006,0.09899999999999999,0.001965000000000064,4.163336342344337e-16
retry,retry-002,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,1.5,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,-0.3115099999999993,-0.3302249999999993,-0.2928099999999993,,,
retry,retry-002,verify_and_retry,always_verify,30,1000,5.0,1.0,1.5,0.05,0.3,0.2,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.10096500000000001,0.08991000000000013,0.11230500000000002,0.09899999999999999,0.0019650000000000223,5.689893001203927e-16
retry,retry-003,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,0.01,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.4583650000000012,0.44141600000000114,0.4746405000000012,,,
retry,retry-003,verify_and_retry,always_verify,30,1000,5.0,1.0,0.01,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.5129700000000005,0.4960300000000005,0.5291300000000005,0.49499999999999994,0.01797000000000054,8.881784197001252e-16
retry,retry-004,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,0.6,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.1866700000000022,0.1659300000000021,0.2074250000000024,,,
retry,retry-004,verify_and_retry,always_verify,30,1000,5.0,1.0,0.6,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.5129700000000005,0.49603000000000047,0.5291300000000005,0.49499999999999994,0.01797000000000054,7.771561172376096e-16
retry,retry-005,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,1.5,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,-0.22777999999999884,-0.25604999999999895,-0.19876499999999891,,,
retry,retry-005,verify_and_retry,always_verify,30,1000,5.0,1.0,1.5,0.05,0.3,0.2,0.1,6.0,0.25,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.5129700000000004,0.49603000000000036,0.5291300000000004,0.49499999999999994,0.01797000000000043,7.216449660063518e-16
retry,retry-006,repair_no_exclusion,naive_trust,30,1000,5.0,1.0,0.01,0.05,0.3,1,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.02470850000000071,0.0151185000000007,0.03453500000000069,,,
retry,retry-006,verify_and_retry,always_verify,30,1000,5.0,1.0,0.01,0.05,0.3,1,0.1,6.0,0.05,0,0.2,5.0,0,0,0.0,0.6,0,0.8,0.1,3,3,0.4,0.6,0,0.07712500000000014,0.06760000000000024,0.08696000000000015,0.075,0.0021250000000001407,4.718447854656915e-16
