scenario,seed,policy,completed,attempted,failures,prevented_breaches,exclusions,false_exclusions,scope_declines,repairs,appeals,verifications,resets,gross_benefit,production_cost,verification_cost,commitment_cost,appeal_cost,repair_cost,scope_cost,third_party_harm,coordination_cost,participant_net,social_net,social_net_per_opportunity,completion_rate,unrealized_benefit
benign,0,always_verify,2000,2000,0,0,0,0,0,0,0,2000,0,10000.0,2000.0,1200.0000000000007,0.0,0.0,0.0,0.0,0.0,1200.0000000000007,6799.999999999999,6799.999999999999,3.3999999999999995,1.0,0.0
benign,0,naive_trust,2000,2000,0,0,0,0,0,0,0,0,0,10000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,4.0,1.0,0.0
benign,0,reputation_only,2000,2000,0,0,0,0,0,0,0,277,0,10000.0,2000.0,166.19999999999914,0.0,0.0,0.0,0.0,0.0,166.19999999999914,7833.800000000001,7833.800000000001,3.9169000000000005,1.0,0.0
benign,0,repair,2000,2000,0,0,0,0,0,0,0,277,0,10000.0,2000.0,166.19999999999914,99.99999999999646,0.0,0.0,0.0,0.0,266.1999999999956,7733.800000000005,7733.800000000005,3.8669000000000024,1.0,0.0
benign,0,repair_no_exclusion,2000,2000,0,0,0,0,0,0,0,277,0,10000.0,2000.0,166.19999999999914,99.99999999999646,0.0,0.0,0.0,0.0,266.1999999999956,7733.800000000005,7733.800000000005,3.8669000000000024,1.0,0.0
benign,0,verify_and_retry,2000,2000,0,0,0,0,0,0,0,2000,0,10000.0,2000.0,1200.0000000000007,0.0,0.0,0.0,0.0,0.0,1200.0000000000007,6799.999999999999,6799.999999999999,3.3999999999999995,1.0,0.0
benign,0,scope_only,2000,2000,0,0,0,0,0,0,0,0,0,10000.0,2000.0,0.0,0.0,0.0,0.0,199.99999999999292,0.0,199.99999999999292,7800.000000000007,7800.000000000007,3.9000000000000035,1.0,0.0
benign,0,repair_no_appeal,2000,2000,0,0,0,0,0,0,0,277,0,10000.0,2000.0,166.19999999999914,99.99999999999646,0.0,0.0,0.0,0.0,266.1999999999956,7733.800000000005,7733.800000000005,3.8669000000000024,1.0,0.0
benign,0,repair_with_scope,2000,2000,0,0,0,0,0,0,0,277,0,10000.0,2000.0,166.19999999999914,99.99999999999646,0.0,0.0,199.99999999999292,0.0,466.1999999999885,7533.800000000011,7533.800000000011,3.7669000000000055,1.0,0.0
benign,1,always_verify,2000,2000,0,0,0,0,0,0,0,2000,0,10000.0,2000.0,1200.0000000000007,0.0,0.0,0.0,0.0,0.0,1200.0000000000007,6799.999999999999,6799.999999999999,3.3999999999999995,1.0,0.0
benign,1,naive_trust,2000,2000,0,0,0,0,0,0,0,0,0,10000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,4.0,1.0,0.0
benign,1,reputation_only,2000,2000,0,0,0,0,0,0,0,271,0,10000.0,2000.0,162.59999999999917,0.0,0.0,0.0,0.0,0.0,162.59999999999917,7837.400000000001,7837.400000000001,3.9187000000000003,1.0,0.0
benign,1,repair,2000,2000,0,0,0,0,0,0,0,271,0,10000.0,2000.0,162.59999999999917,99.99999999999646,0.0,0.0,0.0,0.0,262.59999999999565,7737.400000000004,7737.400000000004,3.8687000000000022,1.0,0.0
benign,1,repair_no_exclusion,2000,2000,0,0,0,0,0,0,0,271,0,10000.0,2000.0,162.59999999999917,99.99999999999646,0.0,0.0,0.0,0.0,262.59999999999565,7737.400000000004,7737.400000000004,3.8687000000000022,1.0,0.0
benign,1,verify_and_retry,2000,2000,0,0,0,0,0,0,0,2000,0,10000.0,2000.0,1200.0000000000007,0.0,0.0,0.0,0.0,0.0,1200.0000000000007,6799.999999999999,6799.999999999999,3.3999999999999995,1.0,0.0
benign,1,scope_only,2000,2000,0,0,0,0,0,0,0,0,0,10000.0,2000.0,0.0,0.0,0.0,0.0,199.99999999999292,0.0,199.99999999999292,7800.000000000007,7800.000000000007,3.9000000000000035,1.0,0.0
benign,1,repair_no_appeal,2000,2000,0,0,0,0,0,0,0,271,0,10000.0,2000.0,162.59999999999917,99.99999999999646,0.0,0.0,0.0,0.0,262.59999999999565,7737.400000000004,7737.400000000004,3.8687000000000022,1.0,0.0
benign,1,repair_with_scope,2000,2000,0,0,0,0,0,0,0,271,0,10000.0,2000.0,162.59999999999917,99.99999999999646,0.0,0.0,199.99999999999292,0.0,462.59999999998854,7537.4000000000115,7537.4000000000115,3.7687000000000057,1.0,0.0
benign,2,always_verify,2000,2000,0,0,0,0,0,0,0,2000,0,10000.0,2000.0,1200.0000000000007,0.0,0.0,0.0,0.0,0.0,1200.0000000000007,6799.999999999999,6799.999999999999,3.3999999999999995,1.0,0.0
benign,2,naive_trust,2000,2000,0,0,0,0,0,0,0,0,0,10000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,4.0,1.0,0.0
